,SMARTPHONE_W63,SNSUSE_W63,VIDEOGAME_W63,TIMESPEND_a_W63,TIMESPEND_b_W63,TIMESPEND_c_W63,DOV_KIDS0TO11_W63,DOV_KIDS12PLUS_W63,KIDSATHOME_W63,EASYHARD_W63,PARENTTIME_W63,PARENTJOB_W63,SHARENTING1_W63,SHARENTING2_a_W63,SHARENTING2_b_W63,SHARENTING2_c_W63,SHARENTING3_a_W63,SHARENTING3_b_W63,SHARENTING3_c_W63,SHARENTING3_d_W63,SHARENTING4_W63,SHARENTING5_W63,SHARENTING6_W63,RISKBEN_W63,MOBILEHELP_a_W63,MOBILEHELP_b_W63,MOBILEHELP_c_W63,MOBILEHELP_d_W63,MOBILEHELP_e_W63,ACCEPTUSE_a_W63,ACCEPTUSE_b_W63,ACCEPTOWN_a_W63,ACCEPTOWN_b_W63,REGCONTENT_a_W63,REGCONTENT_b_W63,REGCONTENT_c_W63,APPRO_W63,DISTRACTED_W63
477,"Yes, I have a smartphone","Yes, I use social media sites",Refused,About the right amount of time,About the right amount of time,NA,1,2,Yes,Harder than it was 20 years ago,The right amount of time together,A very good job,"No, I have never done this",NA,NA,NA,Major reason,Minor reason,Minor reason,Major reason,Too much about their young children,Never,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Help a lot,Help a little,Help a little,Help a lot,Help a little,15-17 years old or older,3-4 years old,9-11 years old,3-4 years old,A lot,Not much,A lot,Very confident,Sometimes
478,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,Too little time,0,4,NA,About the same,The right amount of time together,A good job,"No, I have never done this",NA,NA,NA,Major reason,Not a reason,Not a reason,Major reason,Too much about their young children,Never,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Help a little,Help a little,Help a little,Hurt a little,Help a little,15-17 years old or older,12-14 years old,15-17 years old,12-14 years old,Some,Some,A lot,NA,Never
479,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,Too little time,1,2,No,Harder than it was 20 years ago,The right amount of time together,A very good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Rarely,Sometimes,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,Help a little,15-17 years old or older,9-11 years old,15-17 years old,9-11 years old,Some,Some,A lot,Very confident,Sometimes
480,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,Too much time,0,4,NA,About the same,Too little time together,A good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Never,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a little,Hurt a little,15-17 years old or older,5-8 years old,15-17 years old,5-8 years old,A lot,A lot,A lot,NA,Sometimes
481,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,About the right amount of time,NA,0,3,NA,About the same,Too little time together,A good job,"No, I have never done this",NA,NA,NA,Not a reason,Not a reason,Major reason,Minor reason,About the right amount about their young children,Never,NA,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Hurt a lot,Help a little,Hurt a little,Hurt a little,Hurt a little,9-11 years old,5-8 years old,12-14 years old,5-8 years old,A lot,A lot,A lot,NA,Sometimes
482,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,About the right amount of time,Too much time,0,4,NA,About the same,Too little time together,A good job,"No, I have never done this",NA,NA,NA,Minor reason,Not a reason,Minor reason,Minor reason,Too much about their young children,Never,NA,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Hurt a lot,Hurt a lot,Make no difference,Hurt a little,Hurt a little,12-14 years old,9-11 years old,12-14 years old,12-14 years old,Some,None at all,A lot,NA,Sometimes
483,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,1,0,Yes,About the same,The right amount of time together,A good job,"Yes, I have done this",Major reason,Minor reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Rarely,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Make no difference,Make no difference,Make no difference,Hurt a lot,15-17 years old or older,5-8 years old,12-14 years old,3-4 years old,Some,Some,A lot,Somewhat confident,Sometimes
484,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,About the right amount of time,NA,2,0,No,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Minor reason,Minor reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Sometimes,Sometimes,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Hurt a little,Hurt a lot,Hurt a lot,Hurt a little,12-14 years old,12-14 years old,12-14 years old,9-11 years old,Some,Some,A lot,Somewhat confident,Sometimes
485,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,About the right amount of time,Too much time,0,4,NA,About the same,The right amount of time together,A very good job,"Yes, I have done this",Major reason,Major reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Help a little,Hurt a little,Hurt a lot,15-17 years old or older,5-8 years old,15-17 years old,12-14 years old,Some,Not much,A lot,NA,Rarely
486,"Yes, I have a smartphone","No, I do not use social media sites","Yes, I play video games",About the right amount of time,NA,About the right amount of time,2,2,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Hurt a little,Make no difference,Hurt a little,Hurt a lot,12-14 years old,5-8 years old,12-14 years old,3-4 years old,A lot,A lot,A lot,Somewhat confident,Rarely
487,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too little time,Too little time,NA,2,0,Yes,About the same,The right amount of time together,A very good job,"Yes, I have done this",Major reason,Minor reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Never,Never,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Help a little,Help a little,Help a little,Help a little,Help a little,9-11 years old,5-8 years old,5-8 years old,5-8 years old,Some,Some,A lot,Very confident,Sometimes
488,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",About the right amount of time,About the right amount of time,About the right amount of time,1,0,Yes,About the same,Too little time together,A good job,"Yes, I have done this",Major reason,Not a reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Rarely,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Hurt a little,Hurt a lot,Hurt a little,Hurt a little,This is not acceptable for children,5-8 years old,12-14 years old,12-14 years old,Some,Some,A lot,Somewhat confident,Often
489,"Yes, I have a smartphone","No, I do not use social media sites","No, I do not play video games",About the right amount of time,NA,NA,0,3,NA,Harder than it was 20 years ago,Too little time together,A good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Help a little,Hurt a lot,Hurt a lot,12-14 years old,9-11 years old,12-14 years old,5-8 years old,Some,A lot,A lot,NA,Rarely
490,"Yes, I have a smartphone","No, I do not use social media sites","No, I do not play video games",Too much time,NA,NA,1,0,Yes,Harder than it was 20 years ago,Too little time together,A good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,15-17 years old or older,9-11 years old,15-17 years old,9-11 years old,A lot,A lot,A lot,Very confident,Sometimes
491,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,About the right amount of time,NA,1,2,Yes,About the same,Too little time together,A good job,"Yes, I have done this",Major reason,Not a reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Sometimes,Sometimes,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Hurt a lot,Hurt a lot,Hurt a lot,15-17 years old or older,12-14 years old,12-14 years old,15-17 years old,A lot,A lot,A lot,Very confident,Sometimes
492,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,0,2,NA,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Major reason,Not a reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Sometimes,Sometimes,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Help a little,Hurt a little,Hurt a little,Help a little,Hurt a little,15-17 years old or older,3-4 years old,12-14 years old,5-8 years old,Not much,Not much,A lot,NA,Rarely
493,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",About the right amount of time,About the right amount of time,Too much time,2,0,Yes,About the same,The right amount of time together,A good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Rarely,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Help a little,Help a lot,Hurt a little,Help a little,15-17 years old or older,3-4 years old,12-14 years old,3-4 years old,Some,Some,Some,Not at all confident,Rarely
494,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,About the right amount of time,NA,0,3,NA,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Not a reason,Major reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Hurt a little,Hurt a little,Make no difference,15-17 years old or older,9-11 years old,15-17 years old,12-14 years old,Some,Some,A lot,NA,Rarely
495,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,About the right amount of time,NA,1,1,Yes,Harder than it was 20 years ago,Too little time together,Only a fair job,"Yes, I have done this",Not a reason,Minor reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Never,Never,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Hurt a lot,Hurt a little,Hurt a lot,Hurt a little,Hurt a lot,15-17 years old or older,15-17 years old or older,12-14 years old,12-14 years old,A lot,Some,A lot,Somewhat confident,Sometimes
496,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,About the right amount of time,NA,4,0,Yes,Harder than it was 20 years ago,The right amount of time together,A very good job,"Yes, I have done this",Minor reason,Minor reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Help a lot,Help a lot,Help a lot,Help a lot,Help a lot,9-11 years old,9-11 years old,5-8 years old,5-8 years old,Some,Some,Some,Very confident,Never
497,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,About the right amount of time,Too much time,0,2,NA,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Major reason,Not a reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Rarely,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Make no difference,Hurt a little,Hurt a little,Hurt a little,15-17 years old or older,9-11 years old,12-14 years old,12-14 years old,Some,None at all,A lot,NA,Rarely
498,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,About the right amount of time,NA,2,0,Yes,About the same,Too little time together,A good job,"Yes, I have done this",Minor reason,Not a reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Sometimes,Sometimes,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a little,Hurt a lot,Hurt a lot,15-17 years old or older,12-14 years old,15-17 years old,9-11 years old,Some,Not much,A lot,Very confident,Often
499,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,About the right amount of time,About the right amount of time,0,2,NA,About the same,The right amount of time together,A good job,"Yes, I have done this",Major reason,Minor reason,Minor reason,NA,NA,NA,NA,Too much about their young children,Rarely,Rarely,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Hurt a little,Hurt a little,Help a little,Help a little,Make no difference,12-14 years old,5-8 years old,9-11 years old,5-8 years old,A lot,Some,A lot,NA,Sometimes
500,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,About the right amount of time,NA,1,0,Yes,About the same,The right amount of time together,A good job,"Yes, I have done this",Major reason,Not a reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Rarely,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a little,Hurt a little,Hurt a little,15-17 years old or older,5-8 years old,12-14 years old,9-11 years old,Some,Some,A lot,Somewhat confident,Rarely
501,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",About the right amount of time,About the right amount of time,Too much time,1,1,Yes,About the same,The right amount of time together,A very good job,"No, I have never done this",NA,NA,NA,Minor reason,Major reason,Major reason,Minor reason,Too much about their young children,Never,NA,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Make no difference,Help a little,Help a lot,Help a little,Make no difference,12-14 years old,5-8 years old,12-14 years old,5-8 years old,Not much,Not much,A lot,Somewhat confident,Rarely
502,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,1,0,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Major reason,Not a reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Hurt a lot,Help a little,Hurt a lot,Hurt a little,15-17 years old or older,9-11 years old,5-8 years old,3-4 years old,A lot,A lot,A lot,Not too confident,Often
503,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,0,3,NA,About the same,The right amount of time together,A good job,"Yes, I have done this",Minor reason,Minor reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Never,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Hurt a little,Help a little,Hurt a little,Hurt a little,12-14 years old,9-11 years old,12-14 years old,12-14 years old,Some,None at all,A lot,NA,Sometimes
504,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,Too much time,1,0,Yes,Harder than it was 20 years ago,The right amount of time together,Only a fair job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Often,Sometimes,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Make no difference,Help a little,Hurt a lot,Hurt a lot,This is not acceptable for children,3-4 years old,This is not acceptable for children,3-4 years old,Some,None at all,A lot,Not too confident,Often
505,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,0,2,NA,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Major reason,Major reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Rarely,Rarely,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Hurt a little,Hurt a little,Help a little,Help a little,Hurt a little,15-17 years old or older,5-8 years old,12-14 years old,9-11 years old,Some,Some,A lot,NA,Often
506,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,About the right amount of time,NA,0,4,NA,Harder than it was 20 years ago,Too little time together,Only a fair job,"No, I have never done this",NA,NA,NA,Minor reason,Not a reason,Major reason,Minor reason,Too much about their young children,Never,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a little,Hurt a lot,Hurt a lot,15-17 years old or older,15-17 years old or older,15-17 years old,9-11 years old,Some,Some,A lot,NA,Rarely
507,"Yes, I have a smartphone","No, I do not use social media sites","Yes, I play video games",Too much time,NA,About the right amount of time,1,1,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a little,Hurt a lot,This is not acceptable for children,9-11 years old,9-11 years old,9-11 years old,Some,Some,A lot,Somewhat confident,Rarely
508,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,0,3,NA,Harder than it was 20 years ago,The right amount of time together,A good job,"No, I have never done this",NA,NA,NA,Major reason,Minor reason,Minor reason,Major reason,Too much about their young children,Rarely,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Hurt a lot,Help a little,Hurt a lot,This is not acceptable for children,15-17 years old or older,12-14 years old,15-17 years old,Not much,Not much,A lot,NA,Sometimes
509,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too little time,Too little time,NA,0,3,NA,Harder than it was 20 years ago,The right amount of time together,A good job,"No, I have never done this",NA,NA,NA,Major reason,Major reason,Minor reason,Major reason,Too much about their young children,Never,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,15-17 years old or older,This is not acceptable for children,15-17 years old,15-17 years old,A lot,A lot,A lot,NA,Never
510,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,About the right amount of time,About the right amount of time,1,1,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,"No, I have never done this",NA,NA,NA,Minor reason,Not a reason,Major reason,Minor reason,Too much about their young children,Never,NA,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Help a little,Help a lot,Help a little,Make no difference,Make no difference,9-11 years old,5-8 years old,9-11 years old,5-8 years old,Some,Not much,A lot,Not too confident,Often
511,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",About the right amount of time,About the right amount of time,About the right amount of time,2,0,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Often,Sometimes,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a little,Hurt a little,Hurt a little,15-17 years old or older,5-8 years old,15-17 years old,9-11 years old,A lot,A lot,A lot,Somewhat confident,Sometimes
512,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,About the right amount of time,0,2,NA,About the same,Too little time together,A good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Never,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Hurt a little,Hurt a little,Hurt a lot,15-17 years old or older,5-8 years old,12-14 years old,5-8 years old,A lot,Some,A lot,NA,Rarely
513,"Yes, I have a smartphone","No, I do not use social media sites","Yes, I play video games",Too much time,NA,Too little time,0,2,NA,Harder than it was 20 years ago,Too little time together,A good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Help a little,Hurt a lot,Hurt a little,Hurt a lot,15-17 years old or older,12-14 years old,12-14 years old,12-14 years old,A lot,A lot,A lot,NA,Sometimes
514,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,About the right amount of time,1,2,Yes,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Rarely,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Make no difference,Help a little,Make no difference,Hurt a little,12-14 years old,5-8 years old,15-17 years old,9-11 years old,Some,Some,A lot,Somewhat confident,Rarely
515,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,About the right amount of time,NA,1,0,Yes,About the same,The right amount of time together,A good job,"Yes, I have done this",Major reason,Not a reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Rarely,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Hurt a little,Hurt a little,Hurt a little,Hurt a little,15-17 years old or older,9-11 years old,15-17 years old,5-8 years old,A lot,A lot,A lot,Somewhat confident,Sometimes
516,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,About the right amount of time,NA,1,3,Yes,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Major reason,Minor reason,Minor reason,NA,NA,NA,NA,Too much about their young children,Sometimes,Sometimes,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,15-17 years old or older,12-14 years old,15-17 years old,15-17 years old,Not much,Some,Some,Not too confident,Sometimes
517,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,1,0,Yes,Harder than it was 20 years ago,Too little time together,A very good job,"Yes, I have done this",Not a reason,Not a reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Never,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Hurt a little,Hurt a little,Hurt a little,Hurt a little,This is not acceptable for children,15-17 years old or older,12-14 years old,12-14 years old,Some,Some,A lot,Very confident,Often
518,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too little time,About the right amount of time,About the right amount of time,0,2,NA,Harder than it was 20 years ago,Too little time together,Only a fair job,"No, I have never done this",NA,NA,NA,Major reason,Major reason,Not a reason,Major reason,Too much about their young children,Never,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Help a lot,Hurt a lot,Hurt a lot,15-17 years old or older,3-4 years old,12-14 years old,12-14 years old,Some,Not much,A lot,NA,Sometimes
519,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,2,0,Yes,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Major reason,Minor reason,Minor reason,NA,NA,NA,NA,About the right amount about their young children,Sometimes,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Help a little,Hurt a little,Hurt a lot,12-14 years old,5-8 years old,12-14 years old,5-8 years old,Not much,Not much,A lot,Not at all confident,Often
520,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",About the right amount of time,Too much time,About the right amount of time,0,3,NA,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Major reason,Minor reason,Minor reason,NA,NA,NA,NA,Too much about their young children,Never,Often,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,Hurt a lot,15-17 years old or older,15-17 years old or older,This is not acceptable for children,3-4 years old,A lot,None at all,A lot,NA,Often
521,"Yes, I have a smartphone","No, I do not use social media sites","No, I do not play video games",Too much time,NA,NA,2,0,Yes,Harder than it was 20 years ago,The right amount of time together,A good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Hurt a lot,Hurt a lot,Hurt a little,This is not acceptable for children,9-11 years old,15-17 years old,9-11 years old,Not much,None at all,A lot,Very confident,Sometimes
522,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",Too much time,Too much time,Too much time,0,1,NA,About the same,Too little time together,A good job,"Yes, I have done this",Minor reason,Major reason,Not a reason,NA,NA,NA,NA,Too much about their young children,Rarely,Rarely,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Make no difference,Make no difference,Make no difference,Make no difference,Make no difference,12-14 years old,12-14 years old,12-14 years old,9-11 years old,Some,Not much,Some,NA,Often
523,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,1,6,Yes,Harder than it was 20 years ago,Too little time together,A good job,"Yes, I have done this",Major reason,Minor reason,Not a reason,NA,NA,NA,NA,Too little about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Hurt a little,Hurt a little,Hurt a little,Hurt a little,15-17 years old or older,5-8 years old,15-17 years old,9-11 years old,Some,Some,A lot,Somewhat confident,Often
524,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,About the right amount of time,NA,2,0,Yes,Harder than it was 20 years ago,Too little time together,A good job,"No, I have never done this",NA,NA,NA,Minor reason,Not a reason,Major reason,Major reason,Too much about their young children,Never,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Make no difference,Make no difference,Make no difference,Make no difference,Make no difference,12-14 years old,5-8 years old,15-17 years old,9-11 years old,Some,Not much,A lot,Somewhat confident,Sometimes
525,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,About the right amount of time,NA,1,4,Yes,Harder than it was 20 years ago,Too little time together,A very good job,"Yes, I have done this",Major reason,Major reason,Major reason,NA,NA,NA,NA,About the right amount about their young children,Rarely,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Hurt a little,Hurt a lot,Hurt a little,12-14 years old,9-11 years old,12-14 years old,12-14 years old,A lot,Some,A lot,Very confident,Sometimes
526,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,0,3,NA,Harder than it was 20 years ago,The right amount of time together,A very good job,"Yes, I have done this",Minor reason,Minor reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Never,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a lot,Hurt a little,Hurt a lot,Hurt a lot,Hurt a lot,12-14 years old,12-14 years old,12-14 years old,9-11 years old,None at all,None at all,A lot,NA,Rarely
527,"Yes, I have a smartphone","No, I do not use social media sites","Yes, I play video games",Too much time,NA,Too much time,1,1,No,Harder than it was 20 years ago,The right amount of time together,A very good job,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Hurt a little,Hurt a little,Help a little,Hurt a little,Hurt a little,15-17 years old or older,9-11 years old,12-14 years old,15-17 years old,Some,Not much,A lot,Somewhat confident,Sometimes
528,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",About the right amount of time,About the right amount of time,NA,2,1,Yes,Harder than it was 20 years ago,Too little time together,A very good job,"Yes, I have done this",Major reason,Not a reason,Not a reason,NA,NA,NA,NA,About the right amount about their young children,Never,Never,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Make no difference,Make no difference,Make no difference,Make no difference,Make no difference,5-8 years old,5-8 years old,5-8 years old,3-4 years old,A lot,A lot,A lot,Very confident,Never
529,"Yes, I have a smartphone","Yes, I use social media sites","Yes, I play video games",About the right amount of time,About the right amount of time,About the right amount of time,1,0,Yes,Harder than it was 20 years ago,Too little time together,A very good job,"Yes, I have done this",Major reason,Minor reason,Minor reason,NA,NA,NA,NA,Too much about their young children,Sometimes,Rarely,The potential harm that most children may face from having access to a smartphone outweighs the potential benefits,Help a little,Help a little,Help a lot,Hurt a little,Help a little,9-11 years old,5-8 years old,9-11 years old,5-8 years old,Some,Some,A lot,Very confident,Rarely
530,"Yes, I have a smartphone","Yes, I use social media sites","No, I do not play video games",Too much time,Too much time,NA,0,1,NA,Harder than it was 20 years ago,The right amount of time together,A good job,"No, I have never done this",NA,NA,NA,Major reason,Minor reason,Not a reason,Minor reason,Too much about their young children,Sometimes,NA,The potential benefits that most children may get from having access to a smartphone outweigh the potential harm,Hurt a lot,Help a little,Help a lot,Help a little,Hurt a little,12-14 years old,This is not acceptable for children,12-14 years old,5-8 years old,A lot,Not much,Some,NA,Often
